id,size,air distance matrix time,savings air time,savings air result,nn air time,nn air result,jsprit air time,jsprit air result,google air time,google air result,road distance matrix time,savings road time,savings road result,nn road time,nn road result,jsprit road time,jsprit road result,google road time,google road result,
problem_n150_0653ac2d-a4b0-40ae-82c7-89947ded0a22.vrp,150,297.0,2375.0,7165415.28162553347647190093994140625,156.0,7582611.109345304779708385467529296875,85907.0,7297723.838272958062589168548583984375,1719.0,7338970.6757165156304836273193359375,61468.0,1672.0,7143474.42368291504681110382080078125,60578.0,7806683.07398378849029541015625,76109.0,7174968.962264307774603366851806640625,1188.0,7055224.57604884169995784759521484375,
problem_n150_1f54e254-62f2-4c3c-9d81-8e449a8cc0be.vrp,150,31.0,1719.0,7794716.7673935778439044952392578125,47.0,8925487.2828485704958438873291015625,82687.0,7742261.464231914840638637542724609375,1766.0,7879727.239129177294671535491943359375,59813.0,1734.0,7692227.82429466955363750457763671875,59985.0,8521117.8028250671923160552978515625,79891.0,7638088.863516450859606266021728515625,1313.0,7807648.18900975398719310760498046875,
problem_n150_3cf093a0-d699-4530-b81c-b714e8767bf7.vrp,150,31.0,1875.0,9670220.686480902135372161865234375,47.0,10291066.3956578336656093597412109375,78312.0,9691390.588344752788543701171875,1688.0,9600656.3504888378083705902099609375,60156.0,1906.0,9709183.90476563014090061187744140625,60235.0,10581526.48646855913102626800537109375,81266.0,9520625.2966508977115154266357421875,2000.0,9710168.89334969222545623779296875,
problem_n150_54455e2c-c298-4458-9d0f-312f111d8785.vrp,150,47.0,1938.0,11221663.7373097278177738189697265625,47.0,11804613.3765931427478790283203125,75969.0,11251365.1948530785739421844482421875,1453.0,11527769.35740944556891918182373046875,59610.0,1953.0,11134856.44346019811928272247314453125,59703.0,11933534.64712548442184925079345703125,83532.0,11221402.23733337223529815673828125,1813.0,11106651.6682794056832790374755859375,
problem_n150_65c12401-a4cd-40eb-bae7-0a8e88a29411.vrp,150,32.0,1844.0,9527316.47753247804939746856689453125,47.0,10528789.23977758549153804779052734375,74938.0,9364137.37301425822079181671142578125,1344.0,9517238.62542097270488739013671875,58500.0,1859.0,9508806.3149875104427337646484375,59079.0,9939069.36766891740262508392333984375,79000.0,9289023.00706964917480945587158203125,1547.0,9181755.1305268518626689910888671875,
problem_n150_692c6c7e-ec36-4db9-90bb-489ae26a834c.vrp,150,47.0,1875.0,10673909.10184868238866329193115234375,47.0,11418993.490212254226207733154296875,77500.0,10841282.12463275529444217681884765625,1218.0,10793827.14691238105297088623046875,57719.0,1859.0,10562794.74906147457659244537353515625,57703.0,11265399.0164593644440174102783203125,79563.0,10593616.1198500208556652069091796875,1579.0,10442272.135114610195159912109375,
problem_n150_7a2582cd-48bd-45c9-8db1-73a97630efc2.vrp,150,31.0,1906.0,9666291.18431030027568340301513671875,62.0,10009839.14115880988538265228271484375,80828.0,9663937.3810410089790821075439453125,1125.0,9898393.80572635494172573089599609375,58407.0,1906.0,9562520.1784933023154735565185546875,58656.0,10278159.1095420457422733306884765625,82079.0,9566370.558945097029209136962890625,1422.0,9488068.37592827342450618743896484375,
problem_n150_800b6769-d7d2-4b34-93ef-0152b014c7c3.vrp,150,31.0,1484.0,6450824.493927828967571258544921875,46.0,6954855.0495554767549037933349609375,79829.0,6236901.208932913839817047119140625,1516.0,6384971.750396338291466236114501953125,58203.0,1469.0,6313180.471917419694364070892333984375,58501.0,7203169.711878679692745208740234375,75531.0,6163061.437953840009868144989013671875,1359.0,6487539.38282243721187114715576171875,
problem_n150_cae5646f-4472-45d7-8e4d-cda073799d1e.vrp,150,31.0,1859.0,9226254.8342888839542865753173828125,47.0,10022334.52661042101681232452392578125,77594.0,9130811.4346521981060504913330078125,1469.0,9394315.90339821018278598785400390625,58703.0,1875.0,9108932.01214162819087505340576171875,59047.0,9885850.45723736099898815155029296875,74969.0,8934882.5998721420764923095703125,1359.0,9072367.98804118297994136810302734375,
problem_n150_d95ed77e-9a4f-4f7a-8b88-41fff3cf3146.vrp,150,32.0,1875.0,8515755.4305667579174041748046875,47.0,9033395.0162725858390331268310546875,80969.0,8615731.64498057402670383453369140625,1359.0,8532633.80766035430133342742919921875,58953.0,1844.0,8364451.481223125942051410675048828125,59250.0,8863501.5990235842764377593994140625,74609.0,8335228.661975095979869365692138671875,1750.0,8189033.31720001064240932464599609375,
id,size,air distance matrix time,savings air time,savings air result,nn air time,nn air result,jsprit air time,jsprit air result,google air time,google air result,road distance matrix time,savings road time,savings road result,nn road time,nn road result,jsprit road time,jsprit road result,google road time,google road result,
problem_n160_2a848b9b-dcb0-43ec-a141-b6ba1460003b.vrp,160,188.0,2610.0,8104522.889253437519073486328125,109.0,9019255.00481010787189006805419921875,82235.0,8070674.254978877492249011993408203125,2235.0,8189356.965817955322563648223876953125,69641.0,2610.0,8017477.7842182181775569915771484375,69391.0,8740916.0319855548441410064697265625,79532.0,7784195.6560240127146244049072265625,2313.0,7842605.484740640036761760711669921875,
problem_n160_46e7908d-c69e-4ded-bebe-2e00fff10481.vrp,160,63.0,2953.0,7532671.340936585329473018646240234375,94.0,8685429.25915932841598987579345703125,85750.0,7617010.38431222736835479736328125,1531.0,8054611.445787577889859676361083984375,67750.0,2937.0,7471203.23822496831417083740234375,67547.0,8104065.87420948408544063568115234375,87641.0,7521740.86884333379566669464111328125,1813.0,7586261.89823217876255512237548828125,
problem_n160_6af6abdf-cbdd-4074-aed0-cb383c9a89a5.vrp,160,47.0,2781.0,7478083.599234082736074924468994140625,63.0,8020074.24543405137956142425537109375,88234.0,7466838.167284100316464900970458984375,2203.0,7403902.200302028097212314605712890625,66594.0,2750.0,7270912.372525363229215145111083984375,66469.0,8318438.58091176114976406097412109375,95782.0,7229593.17384784482419490814208984375,1969.0,7137986.548147943802177906036376953125,
problem_n160_70ff1481-c46d-4e54-98cb-712e47338a14.vrp,160,46.0,2516.0,7032383.04820991121232509613037109375,78.0,7549910.7346978746354579925537109375,90563.0,7017589.4756585396826267242431640625,1265.0,7036967.61386520601809024810791015625,67547.0,2485.0,6953973.346480868756771087646484375,67391.0,7779306.061420388519763946533203125,86750.0,6897555.799451422877609729766845703125,1750.0,6952716.12449388764798641204833984375,
problem_n160_72614ab7-019e-4146-a730-ad80fffb236b.vrp,160,78.0,3062.0,8532828.150310061872005462646484375,93.0,9315865.2708395756781101226806640625,84797.0,8683134.64255026541650295257568359375,1032.0,8664431.28275472857058048248291015625,67688.0,3109.0,8458901.44678534381091594696044921875,67469.0,9203672.57458398677408695220947265625,89859.0,8622988.76304660923779010772705078125,1391.0,8493149.23791731335222721099853515625,
problem_n160_7e67312f-94ba-4fc0-b744-d5aaa5870708.vrp,160,62.0,3063.0,9327031.3434022404253482818603515625,62.0,9955433.419474519789218902587890625,94937.0,9468224.37265590764582157135009765625,1609.0,9399553.374371968209743499755859375,65219.0,3000.0,9335475.1192486099898815155029296875,65110.0,9879507.2273796759545803070068359375,84922.0,9261688.39067258499562740325927734375,1937.0,9274346.53596317209303379058837890625,
problem_n160_b4b017f0-29bd-4439-b0b4-50881ae969db.vrp,160,78.0,3078.0,9832035.46148361824452877044677734375,63.0,10559701.63536420278251171112060546875,89938.0,10095504.21739802695810794830322265625,1438.0,10128575.17319509945809841156005859375,66422.0,3093.0,9914838.69242555089294910430908203125,66672.0,10917803.1387865841388702392578125,87750.0,9920431.111814320087432861328125,2047.0,9855277.4038551114499568939208984375,
problem_n160_b8cafc2e-04d3-4321-8922-fe6130604ce6.vrp,160,63.0,3328.0,9309723.07118439860641956329345703125,62.0,10043658.11097254417836666107177734375,91312.0,9378389.67197839915752410888671875,1469.0,9543313.13954248465597629547119140625,70125.0,3282.0,9323458.4135145954787731170654296875,70406.0,9630793.6792684532701969146728515625,90047.0,9233191.835436083376407623291015625,1532.0,9257580.01911229453980922698974609375,
problem_n160_d7623b99-e462-4bcc-aec7-cea2cedbb2ac.vrp,160,47.0,2813.0,8131388.95371108315885066986083984375,63.0,8535871.55261250026524066925048828125,85719.0,8062555.17653931118547916412353515625,1219.0,8074220.40370018966495990753173828125,67078.0,2844.0,8037375.849832511506974697113037109375,67328.0,8479209.86164477281272411346435546875,88672.0,7902352.205214659683406352996826171875,1875.0,7887209.90860744379460811614990234375,
problem_n160_d9489147-9647-4b62-afd8-021b61f8eef8.vrp,160,63.0,3250.0,11464508.1981294862926006317138671875,78.0,11952275.54630170576274394989013671875,87219.0,11471318.53021678514778614044189453125,1203.0,11624794.85360159166157245635986328125,69906.0,3297.0,11438377.3740320540964603424072265625,70079.0,12461013.4676712043583393096923828125,85579.0,11240128.93706762231886386871337890625,2094.0,11348145.68925446085631847381591796875,
id,size,air distance matrix time,savings air time,savings air result,nn air time,nn air result,jsprit air time,jsprit air result,google air time,google air result,road distance matrix time,savings road time,savings road result,nn road time,nn road result,jsprit road time,jsprit road result,google road time,google road result,
problem_n170_12dd93f3-9482-4215-b832-938a1dc2f47c.vrp,170,78.0,3079.0,7452715.090192980132997035980224609375,79.0,8472372.35949261300265789031982421875,100640.0,7590613.927030255086719989776611328125,1563.0,7769518.561724501661956310272216796875,75579.0,3109.0,7440015.604980505071580410003662109375,76188.0,8348262.0263561718165874481201171875,98031.0,7378180.217284857295453548431396484375,2594.0,7524725.772849618457257747650146484375,
problem_n170_2d425c48-9983-4de0-9c28-e71d23fb0c5c.vrp,170,78.0,3797.0,11213283.640775255858898162841796875,78.0,11895020.84440300054848194122314453125,97813.0,11313362.55954966135323047637939453125,2282.0,11383553.2355632893741130828857421875,78625.0,3797.0,11036497.71982241980731487274169921875,79391.0,11640482.15992472507059574127197265625,92938.0,11178463.89715812541544437408447265625,1938.0,10990862.135856010019779205322265625,
problem_n170_4511c020-b5c6-472d-a698-4b583a2298f9.vrp,170,62.0,3141.0,7664144.95402782969176769256591796875,78.0,8271264.85100104473531246185302734375,94438.0,7570721.516609185375273227691650390625,1703.0,7576651.691643319092690944671630859375,76047.0,3141.0,7577591.989439736120402812957763671875,76782.0,8644841.834533073008060455322265625,97672.0,7575276.412967674434185028076171875,2094.0,7552707.3199351318180561065673828125,
