id,size,air distance matrix time,savings air time,savings air result,nn air time,nn air result,jsprit air time,jsprit air result,google air time,google air result,road distance matrix time,savings road time,savings road result,nn road time,nn road result,jsprit road time,jsprit road result,google road time,google road result,
problem_n60_08e93bd8-8818-43a3-83f0-7c8598e720a1.vrp,60,141.0,719.0,4604156.242193645797669887542724609375,63.0,4758859.3275128416717052459716796875,8797.0,4371002.926673083566129207611083984375,375.0,4390492.3196861781179904937744140625,10464.0,219.0,4501354.691113279201090335845947265625,10490.0,4736125.46286853216588497161865234375,6500.0,4212806.52636235766112804412841796875,219.0,4404752.299595617689192295074462890625,
problem_n60_0d95babf-a0e9-4f71-90a9-12321a5bf1b8.vrp,60,16.0,172.0,5498820.894534197635948657989501953125,16.0,5508221.506685756146907806396484375,6011.0,5219599.87219168245792388916015625,141.0,5442501.9076052010059356689453125,10020.0,156.0,5209481.393706730566918849945068359375,9953.0,6123048.45678533427417278289794921875,6152.0,5049449.31560829840600490570068359375,265.0,5344553.983269669115543365478515625,
problem_n60_577f5d1e-36e9-4b36-95b6-ace20cec84b8.vrp,60,0.0,141.0,3162574.2118409187532961368560791015625,16.0,3512774.8434039284475147724151611328125,6235.0,3125709.148000908084213733673095703125,204.0,3181929.36561641655862331390380859375,9188.0,156.0,3171306.6181392334401607513427734375,9135.0,3390767.8854364440776407718658447265625,6596.0,3073107.894405164755880832672119140625,172.0,3174043.4455120046623051166534423828125,
problem_n60_84e9cd6b-08ac-4b05-9d5a-30ad7c3c38e0.vrp,60,0.0,141.0,3859788.7385554355569183826446533203125,0.0,4584050.59441043995320796966552734375,6531.0,3878305.3672653925605118274688720703125,250.0,4005461.459859701804816722869873046875,9362.0,140.0,3907669.7216413733549416065216064453125,9431.0,4593966.23496362753212451934814453125,6344.0,3806201.05559430830180644989013671875,235.0,4055429.900053649209439754486083984375,
problem_n60_85e6b87c-156d-4285-8b9f-3874f25e55d6.vrp,60,15.0,141.0,3850261.03506029956042766571044921875,16.0,4135004.5493793454952538013458251953125,5975.0,3731510.6728802151046693325042724609375,156.0,3876277.8500124402344226837158203125,9338.0,141.0,3892424.8339085918851196765899658203125,9281.0,4139080.79951399005949497222900390625,6228.0,3575042.3245706572197377681732177734375,162.0,3766352.2682265178300440311431884765625,
problem_n60_8cce6d91-57e8-4b82-a103-01ac99cb315f.vrp,60,0.0,141.0,4568889.201382274739444255828857421875,16.0,5095621.10412884689867496490478515625,6449.0,4405236.62114891223609447479248046875,172.0,4716923.349828832782804965972900390625,10062.0,141.0,4531942.513952882029116153717041015625,9985.0,5202091.02006017975509166717529296875,6301.0,4340066.295888646505773067474365234375,407.0,4580328.51683087646961212158203125,
problem_n60_a571e1b7-3f40-4fe1-9a8f-831d7df27038.vrp,60,16.0,140.0,4678130.29731290973722934722900390625,0.0,5429485.579875216819345951080322265625,8515.0,4583008.934994011186063289642333984375,219.0,4712197.738819277845323085784912109375,11403.0,141.0,4673806.927408347837626934051513671875,10517.0,5504361.645979662425816059112548828125,6688.0,4495780.67867186479270458221435546875,203.0,4579620.994355988688766956329345703125,
problem_n60_a7877c8a-c326-494b-bbe2-77a4d42ff849.vrp,60,0.0,125.0,3189828.46932780183851718902587890625,0.0,3469195.6544038294814527034759521484375,6906.0,3117903.1352735063992440700531005859375,141.0,3213489.70503349043428897857666015625,9795.0,125.0,3112226.3289137366227805614471435546875,9797.0,3446983.6179340980015695095062255859375,6353.0,3003102.794196349568665027618408203125,218.0,3204307.2086283587850630283355712890625,
problem_n60_dd76c0fb-3ac0-4387-97de-13fd0e84e408.vrp,60,16.0,140.0,3402820.0966287278570234775543212890625,0.0,3650001.0226622098125517368316650390625,6584.0,3392965.7615066780708730220794677734375,188.0,3343667.370664636604487895965576171875,10176.0,125.0,3369082.11808605678379535675048828125,10344.0,3951138.727345905266702175140380859375,6791.0,3272969.51084058545529842376708984375,219.0,3391722.30867284350097179412841796875,
problem_n60_eb166d27-9644-4f2d-9db0-fb4ed30a5762.vrp,60,15.0,141.0,4679749.045216935686767101287841796875,0.0,4736040.282346152700483798980712890625,6555.0,4482298.591258767060935497283935546875,169.0,4545283.630152422003448009490966796875,9574.0,141.0,4725407.254260567016899585723876953125,9748.0,4584946.93483203090727329254150390625,6266.0,4407135.92063455469906330108642578125,172.0,4425963.845661335624754428863525390625,
id,size,air distance matrix time,savings air time,savings air result,nn air time,nn air result,jsprit air time,jsprit air result,google air time,google air result,road distance matrix time,savings road time,savings road result,nn road time,nn road result,jsprit road time,jsprit road result,google road time,google road result,
problem_n70_456128eb-a56c-4662-853d-43aec3d6a8c3.vrp,70,31.0,375.0,3930430.4728351845405995845794677734375,15.0,4174263.6987608200870454311370849609375,10146.0,3812341.1592337279580533504486083984375,266.0,3975594.098240144550800323486328125,13868.0,297.0,4001847.962687986902892589569091796875,14005.0,4451643.763076926581561565399169921875,9865.0,3781566.083232534117996692657470703125,390.0,3835962.7917054784484207630157470703125,
problem_n70_53172a0b-2795-4d08-90d7-bb7356c2a149.vrp,70,16.0,328.0,5074213.153122387826442718505859375,16.0,5647055.31483004428446292877197265625,10292.0,4850753.53563907556235790252685546875,266.0,5018451.079406389035284519195556640625,13086.0,344.0,4931707.930493851192295551300048828125,13297.0,5556473.04021848924458026885986328125,10300.0,4882194.656844128854572772979736328125,281.0,5045702.02055820636451244354248046875,
problem_n70_88c65e2e-34f7-45fd-ac78-4c5ff24ff97e.vrp,70,0.0,265.0,3900622.0932535617612302303314208984375,15.0,4107119.398593031801283359527587890625,9797.0,3729901.6455106609500944614410400390625,188.0,3910224.4956976473331451416015625,13627.0,281.0,3828768.2813280918635427951812744140625,13696.0,4195588.945091026835143566131591796875,9829.0,3648588.9721554960124194622039794921875,297.0,3775711.8618015325628221035003662109375,
problem_n70_89538e9f-a9da-4593-980d-34a5c71ae9ac.vrp,70,15.0,313.0,4271545.35836406610906124114990234375,15.0,4555044.633657730184495449066162109375,9946.0,3982252.921795864589512348175048828125,203.0,4188465.76831589452922344207763671875,13717.0,328.0,4225818.08586204238235950469970703125,13727.0,4321338.8857206515967845916748046875,9984.0,4032585.7206603027880191802978515625,265.0,4213606.613148716278374195098876953125,
problem_n70_98daf857-d4d6-4a01-b064-eec3ad499cb0.vrp,70,16.0,313.0,4521264.607972451485693454742431640625,16.0,4897868.937347176484763622283935546875,9209.0,4314951.013005395419895648956298828125,375.0,4401178.994752519764006137847900390625,13593.0,297.0,4416218.254177690483629703521728515625,13751.0,4750131.286826751194894313812255859375,9634.0,4226924.79018361866474151611328125,313.0,4429783.785900673829019069671630859375,
problem_n70_a97229f5-f6aa-4c93-a3e8-273cccf3187f.vrp,70,15.0,250.0,3910549.1998288817703723907470703125,15.0,4213945.648313620127737522125244140625,9980.0,3687361.811627655290067195892333984375,328.0,3804683.712911712937057018280029296875,14316.0,265.0,3807737.480278822593390941619873046875,14484.0,4272797.9186133705079555511474609375,10210.0,3693268.1953767300583422183990478515625,406.0,3865473.150455324910581111907958984375,
problem_n70_ad233c88-43eb-4125-8b23-ef67fd8b1584.vrp,70,16.0,313.0,4273834.072658085264265537261962890625,15.0,5003664.695039530284702777862548828125,9824.0,4212073.56941126286983489990234375,282.0,4285231.43315444886684417724609375,13408.0,360.0,4269048.68652874790132045745849609375,13373.0,4784500.558095566928386688232421875,9439.0,4156408.3345474661327898502349853515625,360.0,4321713.075686472468078136444091796875,
problem_n70_f044b5ae-6612-4344-8047-fc82a0f1f7ab.vrp,70,16.0,297.0,4114209.179911728017032146453857421875,15.0,4469647.801245362497866153717041015625,10514.0,3965083.2936514024622738361358642578125,250.0,4174446.623566971160471439361572265625,14330.0,294.0,4004172.7948856838047504425048828125,14360.0,4354057.960109523497521877288818359375,9696.0,3907822.44047244451940059661865234375,282.0,3930678.7938806302845478057861328125,
problem_n70_f660f900-eea3-4d18-a9eb-d0717442e0ca.vrp,70,0.0,297.0,4289837.427248534746468067169189453125,15.0,4959139.071509328670799732208251953125,9335.0,4252402.852579452097415924072265625,250.0,4439667.721498587168753147125244140625,12313.0,328.0,4320036.615672937594354152679443359375,12376.0,4719352.24958908744156360626220703125,9743.0,4192013.676994501613080501556396484375,344.0,4276292.480297916568815708160400390625,
problem_n70_f7ee608c-7937-45b6-aba8-20420918b6ec.vrp,70,15.0,282.0,3611352.89719570241868495941162109375,15.0,4250811.2707688249647617340087890625,9623.0,3488914.8964062384329736232757568359375,375.0,3650842.8310957164503633975982666015625,13398.0,282.0,3538424.198755369521677494049072265625,13406.0,4319655.63110591471195220947265625,9145.0,3451097.836090068332850933074951171875,266.0,3660244.1519172494299709796905517578125,
id,size,air distance matrix time,savings air time,savings air result,nn air time,nn air result,jsprit air time,jsprit air result,google air time,google air result,road distance matrix time,savings road time,savings road result,nn road time,nn road result,jsprit road time,jsprit road result,google road time,google road result,
problem_n80_288d5794-b07f-486d-8558-f5cdefd815df.vrp,80,16.0,436.0,4127562.99446103535592555999755859375,16.0,4659313.440591755323112010955810546875,14118.0,4039363.433383881114423274993896484375,469.0,4234427.469270554371178150177001953125,17406.0,422.0,4144129.6270037707872688770294189453125,17442.0,4625265.208245642483234405517578125,15173.0,4065580.2310635983012616634368896484375,344.0,4171489.1533190426416695117950439453125,
problem_n80_3b55115a-0b2d-448a-9a25-6b1534dffb81.vrp,80,15.0,438.0,4786940.377709832973778247833251953125,16.0,5117177.618920135311782360076904296875,15625.0,4606470.84124326519668102264404296875,349.0,4855315.742847072891891002655029296875,18226.0,437.0,4676364.3849520124495029449462890625,18244.0,5114926.6176435239613056182861328125,15754.0,4491168.5793369226157665252685546875,484.0,4553912.170998760499060153961181640625,
problem_n80_75b072ec-816b-4bf5-9dc7-ed83915cce27.vrp,80,16.0,453.0,4452235.2737210728228092193603515625,31.0,4639227.934699691832065582275390625,14101.0,4303592.847989146597683429718017578125,266.0,4439264.366562359966337680816650390625,17642.0,438.0,4400222.797581621445715427398681640625,17721.0,4885321.528819195926189422607421875,13538.0,4201627.67420755885541439056396484375,328.0,4420218.138700067996978759765625,
