id,size,air distance matrix time,savings air time,savings air result,nn air time,nn air result,jsprit air time,jsprit air result,google air time,google air result,road distance matrix time,savings road time,savings road result,nn road time,nn road result,jsprit road time,jsprit road result,google road time,google road result,
problem_n10_33e2218d-5004-43e9-acb0-1dcd11ac38ad.vrp,10,85.0,170.0,1070710.70513512031175196170806884765625,201.0,1349924.068458977155387401580810546875,1565.0,1070710.7051351205445826053619384765625,170.0,1084197.107397927902638912200927734375,434.0,16.0,1057458.7185947443358600139617919921875,401.0,1358031.5281351204030215740203857421875,329.0,1056343.80059474403969943523406982421875,14.0,1069674.21559474430978298187255859375,
problem_n10_462e93b9-ae50-47d0-8feb-a065f8b519e7.vrp,10,3.0,11.0,740364.543643602170050144195556640625,4.0,1021218.23258994263596832752227783203125,272.0,743788.82664360222406685352325439453125,10.0,743496.9616436022333800792694091796875,391.0,9.0,743496.9616436022333800792694091796875,356.0,1021218.23258994263596832752227783203125,554.0,739907.45052719605155289173126220703125,17.0,739907.45052719605155289173126220703125,
problem_n10_485da976-0f7f-4104-b0aa-baa4fd2d6e0f.vrp,10,2.0,8.0,818464.61311285779811441898345947265625,4.0,899846.0888828090392053127288818359375,222.0,793244.73488280945457518100738525390625,8.0,795632.90088280919007956981658935546875,346.0,7.0,778162.63802251778542995452880859375,338.0,899846.0888828090392053127288818359375,209.0,775993.177022517658770084381103515625,14.0,775993.177022517658770084381103515625,
problem_n10_7b6459db-451a-458c-bd9f-4fcec4becca0.vrp,10,2.0,6.0,918784.68077217391692101955413818359375,8.0,1135055.20377217419445514678955078125,281.0,922226.652038826490752398967742919921875,9.0,922226.652038826490752398967742919921875,341.0,5.0,918819.88777217385359108448028564453125,371.0,1007874.252648045890964567661285400390625,239.0,908784.415038826526142656803131103515625,12.0,908784.4150388264097273349761962890625,
problem_n10_817e068d-6a94-40d3-8197-968c66e1086c.vrp,10,3.0,10.0,754990.486258186050690710544586181640625,2.0,972827.0842581861652433872222900390625,213.0,757256.816258185892365872859954833984375,8.0,804752.36025515128858387470245361328125,308.0,5.0,759821.9012581859715282917022705078125,306.0,971895.888258186285383999347686767578125,209.0,742280.62625515111722052097320556640625,14.0,742280.62625515111722052097320556640625,
problem_n10_9486c00a-1b93-4888-955b-b2d4991030c6.vrp,10,1.0,4.0,848919.606952275033108890056610107421875,2.0,1323352.7489522746764123439788818359375,234.0,849653.63795227534137666225433349609375,14.0,849575.9219522750936448574066162109375,432.0,4.0,859477.4269522749818861484527587890625,397.0,1311993.41195227508433163166046142578125,202.0,835909.533952274941839277744293212890625,12.0,835909.533952274941839277744293212890625,
problem_n10_bc8d6f5e-8917-42f8-953a-e031a87bfd29.vrp,10,1.0,4.0,1086424.49919515126384794712066650390625,2.0,1137949.39119515125639736652374267578125,190.0,1100034.8087943904101848602294921875,10.0,1089011.75019515119493007659912109375,272.0,4.0,1094301.24819515156559646129608154296875,280.0,1137137.48019515164196491241455078125,224.0,1070623.9851951510645449161529541015625,9.0,1099549.9087943905033171176910400390625,
problem_n10_c6a31675-d8cf-4895-bd9c-0628ed0b7897.vrp,10,1.0,5.0,815552.7710653035901486873626708984375,2.0,862405.024688871693797409534454345703125,216.0,689896.1680124732665717601776123046875,9.0,682607.795012473128736019134521484375,283.0,4.0,705185.957065303693525493144989013671875,283.0,808549.101688871742226183414459228515625,208.0,682575.121012473129667341709136962890625,10.0,682575.121012473129667341709136962890625,
problem_n10_eae00161-d253-491c-abef-67e685ce8385.vrp,10,1.0,4.0,829219.121844558976590633392333984375,2.0,965097.41618974343873560428619384765625,189.0,814546.26684455876238644123077392578125,9.0,814514.95584455854259431362152099609375,315.0,3.0,829149.391844558878801763057708740234375,330.0,966118.14418974332511425018310546875,181.0,806559.326844559051096439361572265625,10.0,806559.326844558934681117534637451171875,
problem_n10_fea96330-2536-4fd9-9896-0570fdaa9628.vrp,10,1.0,3.0,969233.414659787318669259548187255859375,5.0,1316424.758955213241279125213623046875,227.0,969293.495298484689556062221527099609375,9.0,968866.20965978712774813175201416015625,371.0,5.0,969645.4662984847091138362884521484375,364.0,1316424.758955213241279125213623046875,222.0,968866.20965978712774813175201416015625,10.0,968866.20965978712774813175201416015625,
