id,size,air distance matrix time,savings air time,savings air result,nn air time,nn air result,jsprit air time,jsprit air result,google air time,google air result,road distance matrix time,savings road time,savings road result,nn road time,nn road result,jsprit road time,jsprit road result,google road time,google road result,
problem_n200_03b6a5bb-fdfc-4ff2-bd15-ac052acb7729.vrp,200,625.0,5344.0,9392632.2613285146653652191162109375,188.0,9546842.366384141147136688232421875,116250.0,9430436.54716205038130283355712890625,2156.0,9330540.8275551833212375640869140625,105562.0,3594.0,9237392.2857020534574985504150390625,104609.0,9751773.98367590643465518951416015625,130626.0,9150726.33541758172214031219482421875,1906.0,9084551.91586854495108127593994140625,
problem_n200_2feaf702-da42-4230-aa41-f0badf8df233.vrp,200,62.0,3766.0,11695828.2426984310150146484375,109.0,12693964.6725056171417236328125,121438.0,11903177.87418523989617824554443359375,2141.0,11984230.51146709360182285308837890625,106719.0,3813.0,11619105.80930404923856258392333984375,106719.0,12225305.30405022762715816497802734375,124922.0,11740622.74370316602289676666259765625,2953.0,11636793.931494198739528656005859375,
problem_n200_3e0e7b1e-2e93-4af3-ba54-9a339de61144.vrp,200,78.0,3891.0,11970239.958012260496616363525390625,78.0,12752420.71824958734214305877685546875,118860.0,12392279.58936468698084354400634765625,2281.0,12229276.7785510234534740447998046875,105579.0,3812.0,11862363.90218631923198699951171875,105641.0,12337557.5536821372807025909423828125,116250.0,12070065.314135782420635223388671875,2688.0,11956220.756544165313243865966796875,
problem_n200_3ee87b7f-a8ee-40cd-8e02-4c085255f5f5.vrp,200,62.0,3688.0,10000662.88158899359405040740966796875,78.0,11010838.52967909909784793853759765625,117156.0,10067365.3557188622653484344482421875,2485.0,10273047.808070503175258636474609375,105859.0,3687.0,9929314.58334647677838802337646484375,106047.0,10920487.803322784602642059326171875,126312.0,9702991.51739217154681682586669921875,3484.0,9838308.03442712686955928802490234375,
problem_n200_63653364-1c60-4486-9bcc-291ec9993b9c.vrp,200,63.0,3859.0,10405362.7244758494198322296142578125,63.0,11424672.77386256121098995208740234375,116891.0,10556351.96209680102765560150146484375,2454.0,10683589.46858240850269794464111328125,104266.0,3797.0,10383357.63307903520762920379638671875,104360.0,11027758.20929512195289134979248046875,116063.0,10575294.71907373331487178802490234375,3391.0,10397107.746799744665622711181640625,
problem_n200_6450a37b-893a-48b7-a599-454fad287b4e.vrp,200,47.0,3672.0,9756534.5694401822984218597412109375,78.0,10357064.25226819701492786407470703125,120875.0,10029192.5854299478232860565185546875,2125.0,9949436.58679358102381229400634765625,108578.0,3703.0,9736359.23916330374777317047119140625,108625.0,10491052.09563004039227962493896484375,122548.0,9697442.7194589637219905853271484375,2703.0,9757708.47238365374505519866943359375,
problem_n200_6d1d3cdb-ac8f-4f1e-8275-f5cc01bec5c0.vrp,200,46.0,3953.0,12635473.14123726077377796173095703125,78.0,13196500.42401759140193462371826171875,117172.0,12612803.465081982314586639404296875,2328.0,12582341.12600673921406269073486328125,110266.0,3937.0,12662355.86633318103849887847900390625,110281.0,13144039.4302238114178180694580078125,121172.0,12555842.50166268087923526763916015625,2531.0,12378724.76456238329410552978515625,
problem_n200_bad02d33-9d7a-4d09-962e-f4ee4ec7e31e.vrp,200,63.0,3703.0,12365791.67798089794814586639404296875,109.0,12531060.1532195843756198883056640625,121688.0,12430147.213381536304950714111328125,2281.0,12213790.12411362119019031524658203125,108500.0,3672.0,12401963.74700701422989368438720703125,108828.0,12829870.775267891585826873779296875,126563.0,12057265.381972946226596832275390625,2484.0,11988294.02732409536838531494140625,
problem_n200_df34d3f2-8843-450d-b4ad-652df7f6b0f3.vrp,200,63.0,4031.0,13312732.22071013785898685455322265625,62.0,13793704.60715233348309993743896484375,118219.0,13391390.99431155063211917877197265625,3000.0,13260725.1882644593715667724609375,110406.0,3985.0,13053599.854481033980846405029296875,110609.0,13780209.33072183467447757720947265625,123766.0,13207235.7303816974163055419921875,3031.0,12955323.8482433818280696868896484375,
problem_n200_e64519ca-2ecb-4e12-b636-58ed69a99097.vrp,200,62.0,3641.0,11439289.05638141743838787078857421875,78.0,11993639.75571033917367458343505859375,123453.0,11541717.7549475319683551788330078125,3578.0,11264407.95369999296963214874267578125,109109.0,3641.0,11282740.62040766142308712005615234375,109140.0,11917062.66601248271763324737548828125,125375.0,11403993.78560191206634044647216796875,2891.0,11097538.709777303040027618408203125,
