id,size,air distance matrix time,savings air time,savings air result,nn air time,nn air result,jsprit air time,jsprit air result,google air time,google air result,road distance matrix time,savings road time,savings road result,nn road time,nn road result,jsprit road time,jsprit road result,google road time,google road result,
id,size,air distance matrix time,savings air time,savings air result,nn air time,nn air result,jsprit air time,jsprit air result,google air time,google air result,road distance matrix time,savings road time,savings road result,nn road time,nn road result,jsprit road time,jsprit road result,google road time,google road result,
problem_n120_04f95f01-1aa1-496f-9357-4ab2004f1289.vrp,120,75.0,1551.0,7292412.691017565317451953887939453125,58.0,7818777.331750723533332347869873046875,51929.0,7391495.51245278306305408477783203125,978.0,7459275.439470100216567516326904296875,42544.0,1470.0,7370217.42366923205554485321044921875,48472.0,7971236.78071922250092029571533203125,61088.0,7314259.015970422886312007904052734375,879.0,7289736.806991192512214183807373046875,
problem_n120_06fd7a8e-cd98-409a-9000-3d3f5f17ba5c.vrp,120,36.0,1657.0,6800916.51049369759857654571533203125,44.0,7330861.52467380277812480926513671875,61123.0,6609548.513974581845104694366455078125,721.0,6910089.36880817823112010955810546875,42200.0,1620.0,6840016.50096315704286098480224609375,42902.0,7200510.792316548526287078857421875,58833.0,6629532.14055783860385417938232421875,901.0,6679467.839952283538877964019775390625,
problem_n120_0abb142d-b60e-43f9-8a29-2a937a47c250.vrp,120,45.0,1659.0,7445861.88144852034747600555419921875,42.0,8249418.302214421331882476806640625,65660.0,7500777.2843043468892574310302734375,911.0,7682431.952141498215496540069580078125,40852.0,1468.0,7484323.786534710787236690521240234375,38363.0,8057884.465057547204196453094482421875,51412.0,7400549.2645432651042938232421875,968.0,7465316.914499319158494472503662109375,
problem_n120_28248dfe-9c71-48f6-9187-39b81850643b.vrp,120,32.0,1473.0,6411697.524043072946369647979736328125,47.0,6624784.770993978716433048248291015625,52488.0,6267905.975977684371173381805419921875,735.0,6358545.467095027677714824676513671875,39140.0,1349.0,6279380.606562100350856781005859375,39046.0,6661095.32267473079264163970947265625,50432.0,6221303.599512330256402492523193359375,844.0,6345492.492197069339454174041748046875,
problem_n120_344aba2f-aa5c-4bc7-ae77-9e6f43282355.vrp,120,31.0,1281.0,6278265.023898665793240070343017578125,47.0,6857725.644150461070239543914794921875,52451.0,6073984.09414305351674556732177734375,906.0,6276783.538267244584858417510986328125,37747.0,1244.0,6064793.250811413861811161041259765625,37791.0,6421375.939086777158081531524658203125,49195.0,5953686.48695418424904346466064453125,778.0,5994798.4743679799139499664306640625,
problem_n120_696f0d7b-df57-462d-b981-9859470363a9.vrp,120,31.0,1504.0,7820814.83536217175424098968505859375,31.0,8560719.47177391313016414642333984375,48529.0,7840731.678701146505773067474365234375,757.0,7943268.452244202606379985809326171875,39156.0,1515.0,7807537.2661459110677242279052734375,39124.0,8440664.00356716103851795196533203125,53397.0,7662089.583833375014364719390869140625,999.0,7852918.73032377474009990692138671875,
problem_n120_7b8dceb4-0c40-4d96-a95d-1290684a026d.vrp,120,31.0,1419.0,7044512.7361468859016895294189453125,47.0,7538270.6414229907095432281494140625,52283.0,6886488.92058382369577884674072265625,525.0,7105904.4605338834226131439208984375,37594.0,1422.0,6868194.4938416294753551483154296875,37605.0,7498556.396589622832834720611572265625,52076.0,6817436.2117282338440418243408203125,1281.0,7051286.577087498269975185394287109375,
problem_n120_a4341029-f91a-4e26-905d-b83b1056e4b5.vrp,120,31.0,1344.0,5961081.669308104552328586578369140625,32.0,6423632.112959285266697406768798828125,52739.0,5843281.16001991368830204010009765625,978.0,6084593.989897337742149829864501953125,37760.0,1320.0,5833780.60489877872169017791748046875,37559.0,6451474.0596572272479534149169921875,52472.0,5737456.296515212394297122955322265625,1196.0,5714353.635605462826788425445556640625,
problem_n120_e2200045-9610-45d0-a67b-6aef1e469ca0.vrp,120,31.0,1459.0,7909761.179212433286011219024658203125,47.0,8872425.65713128261268138885498046875,53563.0,7797269.878098343499004840850830078125,1201.0,7929481.633860255591571331024169921875,39656.0,1456.0,7737821.871338446624577045440673828125,39354.0,8421363.65075976215302944183349609375,53984.0,7791998.20465475879609584808349609375,1397.0,7829519.901009957306087017059326171875,
problem_n120_ec8d5862-c7ca-4eab-8048-dbaae8452ded.vrp,120,46.0,1513.0,7894119.636960185132920742034912109375,31.0,8095307.7032648213207721710205078125,51864.0,7920198.8950626663863658905029296875,760.0,7923575.64675077237188816070556640625,37403.0,1518.0,7763215.372777803801000118255615234375,37321.0,8247304.96835334599018096923828125,61126.0,7578707.731411802582442760467529296875,936.0,7764970.051076582632958889007568359375,
id,size,air distance matrix time,savings air time,savings air result,nn air time,nn air result,jsprit air time,jsprit air result,google air time,google air result,road distance matrix time,savings road time,savings road result,nn road time,nn road result,jsprit road time,jsprit road result,google road time,google road result,
problem_n130_35f4783f-3c54-4e26-8fa7-55f52e8b3d6d.vrp,130,31.0,1801.0,7557550.431419462896883487701416015625,46.0,8236799.45178453624248504638671875,67546.0,7557804.812330882064998149871826171875,1295.0,7640966.119747321121394634246826171875,46505.0,1793.0,7693960.8252308033406734466552734375,46285.0,8012075.9471653141081333160400390625,67550.0,7453101.7927725724875926971435546875,951.0,7536601.41076690144836902618408203125,
problem_n130_477a3efa-ee67-43b7-a4ca-0eb769a91b09.vrp,130,47.0,1732.0,6398251.369999491609632968902587890625,49.0,6814994.874835127033293247222900390625,73253.0,6450966.15202310495078563690185546875,1045.0,6443089.757525310851633548736572265625,44793.0,1658.0,6311499.560267217457294464111328125,44572.0,6908045.7245739661157131195068359375,69387.0,6212434.31134507246315479278564453125,769.0,6368086.10270166955888271331787109375,
